,Dimensiones_minimas,Dimensiones_rectas,Tasa,Cantidad_Aristas,Etiqueta
0,"(31.047897338867188, 1.8510942459106445)","(31, 9)",16.77272640626312,12,Emisor
0,"(14.0, 10.0)","(11, 15)",1.4,13,Emisor
0,"(6.324554920196533, 43.639427185058594)","(43, 17)",6.899999721040056,7,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(11, 9)",1.7500000421468527,8,No-Emisor
0,"(6.324554920196533, 43.955657958984375)","(43, 17)",6.950000199795635,8,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,16,Emisor
0,"(43.84062194824219, 15.55634880065918)","(29, 38)",2.818181985375932,8,No-Emisor
0,"(43.191192626953125, 16.754037857055664)","(29, 38)",2.5779572062244043,10,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,9,Emisor
0,"(47.799659729003906, 19.032155990600586)","(32, 41)",2.511521014887159,10,Emisor
0,"(32.01470184326172, 1.9402848482131958)","(32, 9)",16.500000952305527,12,Emisor
0,"(9.0, 14.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(14.0, 9.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,6,No-Emisor
0,"(9.899494171142578, 5.656853675842285)","(10, 9)",1.7500000421468527,11,Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,7,No-Emisor
0,"(10.733125686645508, 6.260990142822266)","(10, 9)",1.7142856707657006,12,Emisor
0,"(43.133514404296875, 14.849242210388184)","(29, 37)",2.904761993451873,10,Emisor
0,"(42.80000305175781, 16.200000762939453)","(29, 37)",2.641975372598183,10,Emisor
0,"(47.853084564208984, 18.422313690185547)","(32, 42)",2.5975610538920866,10,Emisor
0,"(48.92023468017578, 19.320964813232422)","(32, 42)",2.5319768010069352,9,Emisor
0,"(31.047849655151367, 1.7541159391403198)","(31, 9)",17.69999859323307,8,No-Emisor
0,"(9.0, 14.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(14.0, 9.0)","(10, 15)",1.5555555555555556,15,Emisor
0,"(6.640782833099365, 43.639427185058594)","(43, 17)",6.571428140602414,7,No-Emisor
0,"(9.899494171142578, 6.363960266113281)","(11, 9)",1.555555622157991,13,Emisor
0,"(6.640782833099365, 43.955657958984375)","(43, 17)",6.619047642982405,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 9)",1.666666808832053,15,Emisor
0,"(43.84061813354492, 14.849242210388184)","(29, 37)",2.9523808361665114,8,No-Emisor
0,"(43.277069091796875, 16.396902084350586)","(29, 37)",2.6393442413186734,11,Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,10,Emisor
0,"(48.167152404785156, 19.02297592163086)","(32, 41)",2.532051378460439,9,Emisor
0,"(31.315589904785156, 1.5792608261108398)","(31, 10)",19.829270369419827,10,Emisor
0,"(9.0, 14.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(14.0, 9.0)","(10, 15)",1.5555555555555556,14,Emisor
0,"(9.899494171142578, 5.656853675842285)","(11, 9)",1.7500000421468527,12,Emisor
0,"(6.324554920196533, 43.955657958984375)","(43, 17)",6.950000199795635,7,No-Emisor
0,"(11.180339813232422, 6.260990142822266)","(11, 9)",1.7857143292342994,16,Emisor
0,"(43.191192626953125, 16.03343391418457)","(29, 38)",2.6938204790143203,8,No-Emisor
0,"(44.3621711730957, 16.754037857055664)","(29, 38)",2.647849524490203,8,No-Emisor
0,"(48.08325958251953, 17.677669525146484)","(32, 41)",2.7199999136832544,9,Emisor
0,"(47.94534683227539, 19.053199768066406)","(32, 41)",2.516393436058592,9,Emisor
0,"(31.308237075805664, 1.8940929174423218)","(31, 10)",16.529409295338358,7,No-Emisor
0,"(14.0, 12.0)","(13, 15)",1.1666666666666667,16,Emisor
0,"(2.0, 2.0)","(3, 3)",1.1666666666666667,8,No-Emisor
0,"(1.4142134189605713, 1.4142134189605713)","(3, 3)",1.1666666666666667,4,No-Emisor
0,"(2.0, 2.0)","(3, 3)",1.1666666666666667,4,No-Emisor
0,"(6.640783309936523, 43.63943862915039)","(43, 17)",6.571429392049764,7,No-Emisor
0,"(10.60660171508789, 7.0710673332214355)","(11, 10)",1.5000001011524433,17,Emisor
0,"(6.640783309936523, 43.955665588378906)","(43, 17)",6.6190483165756335,7,No-Emisor
0,"(11.180339813232422, 6.708203315734863)","(11, 10)",1.666666808832053,17,Emisor
0,"(42.20000457763672, 15.600000381469727)","(29, 37)",2.7051284324174434,10,Emisor
